"","Accessibility2City","y","run"
"2035",316.508917137323,-0.00274046490594342,21
"2036",325.81703648598,-0.00274046490594342,21
"2037",335.125155834636,-0.0027873567557996,21
"2038",344.433275183293,-0.00319708962769128,21
"2039",353.74139453195,-0.00325586668583729,21
"2040",363.049513880606,-0.0033114644279929,21
"2041",372.357633229263,-0.00337874412682676,21
"2042",381.665752577919,-0.00347221956041953,21
"2043",390.973871926576,-0.00347221956041953,21
"2044",400.281991275232,-0.00355459623477059,21
"2045",409.590110623889,-0.00355459623477059,21
"2046",418.898229972545,-0.00358190151274484,21
"2047",428.206349321202,-0.00358190151274484,21
"2048",437.514468669859,-0.00358190151274484,21
"2049",446.822588018515,-0.00359937915898323,21
"2050",456.130707367172,-0.00362582971954329,21
"2051",465.438826715828,-0.00367419045999316,21
"2052",474.746946064485,-0.00369229177626648,21
"2053",484.055065413141,-0.00369229177626648,21
"2054",493.363184761798,-0.00369229177626648,21
"2055",502.671304110455,-0.00369229177626648,21
"2056",511.979423459111,-0.00369229177626648,21
"2057",521.287542807768,-0.00369229177626648,21
"2058",530.595662156424,-0.00369229177626648,21
"2059",539.903781505081,-0.00369229177626648,21
"2060",549.211900853737,-0.00369229177626648,21
"2061",558.520020202394,-0.00369229177626648,21
"2062",567.828139551051,-0.00369229177626648,21
"2063",577.136258899707,-0.00369229177626648,21
"2064",586.444378248364,-0.00369229177626648,21
"2065",595.75249759702,-0.00369229177626648,21
"2066",605.060616945677,-0.00369229177626648,21
"2067",614.368736294333,-0.00369229177626648,21
"2068",623.67685564299,-0.00369229177626648,21
"2069",632.984974991646,-0.00369229177626648,21
"2070",642.293094340303,-0.00369229177626648,21
"2071",651.60121368896,-0.00369229177626648,21
"2072",660.909333037616,-0.00369229177626648,21
"2073",670.217452386273,-0.00369229177626648,21
"2074",679.525571734929,-0.00369229177626648,21
"2075",688.833691083586,-0.00369229177626648,21
"2076",698.141810432242,-0.00369229177626648,21
