"","DePOPfraction","y","run"
"1",0,6.46219247124663e-06,1
"2",0.413003660808081,-7.22691350722927e-06,1
"3",0.826007321616162,-7.22691350722927e-06,1
"4",1.23901098242424,-2.31524178941907e-05,1
"5",1.65201464323232,-2.7628020031957e-05,1
"6",2.0650183040404,-2.7628020031957e-05,1
"7",2.47802196484848,-2.94553746281937e-05,1
"8",2.89102562565657,-3.43232834331525e-05,1
"9",3.30402928646465,-3.44838872513621e-05,1
"10",3.71703294727273,-3.44838872513621e-05,1
"11",4.13003660808081,-3.56430011376853e-05,1
"12",4.54304026888889,-3.65975059202038e-05,1
"13",4.95604392969697,-3.77305330986053e-05,1
"14",5.36904759050505,-3.82735368124807e-05,1
"15",5.78205125131313,-3.90824824514983e-05,1
"16",6.19505491212121,-3.96099723770915e-05,1
"17",6.60805857292929,-3.9236206470146e-05,1
"18",7.02106223373737,-3.9236206470146e-05,1
"19",7.43406589454545,-4.3076402430713e-05,1
"20",7.84706955535354,-4.3076402430713e-05,1
"21",8.26007321616162,-4.3076402430713e-05,1
"22",8.6730768769697,-4.3076402430713e-05,1
"23",9.08608053777778,-4.3076402430713e-05,1
"24",9.49908419858586,-4.3076402430713e-05,1
"25",9.91208785939394,-4.45965595997494e-05,1
"26",10.325091520202,-4.61156609112844e-05,1
"27",10.7380951810101,-4.51464359587881e-05,1
"28",11.1510988418182,-4.88596406617545e-05,1
"29",11.5641025026263,-5.23498429193302e-05,1
"30",11.9771061634343,-5.23498429193302e-05,1
"31",12.3901098242424,-5.23498429193302e-05,1
"32",12.8031134850505,-5.23498429193302e-05,1
"33",13.2161171458586,-4.90218157481002e-05,1
"34",13.6291208066667,-4.90218157481002e-05,1
"35",14.0421244674747,-4.79756870651059e-05,1
"36",14.4551281282828,-4.79756870651059e-05,1
"37",14.8681317890909,-4.79756870651059e-05,1
"38",15.281135449899,-4.79756870651059e-05,1
"39",15.6941391107071,-4.79756870651059e-05,1
"40",16.1071427715152,-5.20641012963203e-05,1
"41",16.5201464323232,-5.20641012963203e-05,1
"42",16.9331500931313,-5.20641012963203e-05,1
"43",17.3461537539394,-5.20641012963203e-05,1
"44",17.7591574147475,-5.20641012963203e-05,1
"45",18.1721610755556,-5.20641012963203e-05,1
"46",18.5851647363636,-5.20641012963203e-05,1
"47",18.9981683971717,-5.20641012963203e-05,1
"48",19.4111720579798,-5.20641012963203e-05,1
"49",19.8241757187879,-5.20641012963203e-05,1
"50",20.237179379596,-5.20641012963203e-05,1
"51",20.650183040404,-5.20641012963203e-05,1
"52",21.0631867012121,-5.20641012963203e-05,1
"53",21.4761903620202,-5.20641012963203e-05,1
"54",21.8891940228283,-5.20641012963203e-05,1
"55",22.3021976836364,-5.20641012963203e-05,1
"56",22.7152013444444,-5.20641012963203e-05,1
"57",23.1282050052525,-5.20641012963203e-05,1
"58",23.5412086660606,-5.20641012963203e-05,1
"59",23.9542123268687,-5.20641012963203e-05,1
"60",24.3672159876768,-5.20641012963203e-05,1
"61",24.7802196484848,-5.20641012963203e-05,1
"62",25.1932233092929,-5.20641012963203e-05,1
"63",25.606226970101,-5.20641012963203e-05,1
"64",26.0192306309091,-5.20641012963203e-05,1
"65",26.4322342917172,-5.20641012963203e-05,1
"66",26.8452379525253,-5.20641012963203e-05,1
"67",27.2582416133333,-5.20641012963203e-05,1
"68",27.6712452741414,-5.20641012963203e-05,1
"69",28.0842489349495,-5.20641012963203e-05,1
"70",28.4972525957576,-5.20641012963203e-05,1
"71",28.9102562565657,-5.20641012963203e-05,1
"72",29.3232599173737,-5.20641012963203e-05,1
"73",29.7362635781818,-5.20641012963203e-05,1
"74",30.1492672389899,-5.20641012963203e-05,1
"75",30.562270899798,-5.20641012963203e-05,1
"76",30.9752745606061,-5.20641012963203e-05,1
"77",31.3882782214141,-5.20641012963203e-05,1
"78",31.8012818822222,-5.20641012963203e-05,1
"79",32.2142855430303,-5.20641012963203e-05,1
"80",32.6272892038384,-5.20641012963203e-05,1
"81",33.0402928646465,-5.20641012963203e-05,1
"82",33.4532965254545,-5.20641012963203e-05,1
"83",33.8663001862626,-5.20641012963203e-05,1
"84",34.2793038470707,-5.20641012963203e-05,1
"85",34.6923075078788,-5.20641012963203e-05,1
"86",35.1053111686869,-5.20641012963203e-05,1
"87",35.5183148294949,-5.20641012963203e-05,1
"88",35.931318490303,-5.20641012963203e-05,1
"89",36.3443221511111,-5.20641012963203e-05,1
"90",36.7573258119192,-5.20641012963203e-05,1
"91",37.1703294727273,-5.20641012963203e-05,1
"92",37.5833331335354,-5.20641012963203e-05,1
"93",37.9963367943434,-5.20641012963203e-05,1
"94",38.4093404551515,-5.20641012963203e-05,1
"95",38.8223441159596,-5.20641012963203e-05,1
"96",39.2353477767677,-5.20641012963203e-05,1
"97",39.6483514375758,-5.20641012963203e-05,1
"98",40.0613550983838,-5.20641012963203e-05,1
"99",40.4743587591919,-5.20641012963203e-05,1
"100",40.88736242,-5.20641012963203e-05,1
"101",0,2.65638356178566e-06,2
"102",0.413003660808081,-1.04256817216049e-05,2
"103",0.826007321616162,-1.04256817216049e-05,2
"104",1.23901098242424,-1.97636958209235e-05,2
"105",1.65201464323232,-2.10824983103464e-05,2
"106",2.0650183040404,-2.12672940815041e-05,2
"107",2.47802196484848,-2.26632545002796e-05,2
"108",2.89102562565657,-2.83846882634377e-05,2
"109",3.30402928646465,-2.98186471225338e-05,2
"110",3.71703294727273,-2.98186471225338e-05,2
"111",4.13003660808081,-2.98186471225338e-05,2
"112",4.54304026888889,-2.98186471225338e-05,2
