"","ProtectionAreaFraction","y","run"
"7339",38.6586032949495,-2.62303478873687e-05,74
"7340",39.6759349606061,-2.62303478873687e-05,74
"7341",40.6932666262626,-2.76354997644676e-05,74
"7342",41.7105982919192,-2.76354997644676e-05,74
"7343",42.7279299575758,-2.5848045466882e-05,74
"7344",43.7452616232323,-2.5848045466882e-05,74
"7345",44.7625932888889,-2.5848045466882e-05,74
"7346",45.7799249545455,-2.5848045466882e-05,74
"7347",46.797256620202,-2.5848045466882e-05,74
"7348",47.8145882858586,-2.5848045466882e-05,74
"7349",48.8319199515151,-2.5848045466882e-05,74
"7350",49.8492516171717,-2.5848045466882e-05,74
"7351",50.8665832828283,-2.5848045466882e-05,74
"7352",51.8839149484849,-2.5848045466882e-05,74
"7353",52.9012466141414,-2.5848045466882e-05,74
"7354",53.918578279798,-2.5848045466882e-05,74
"7355",54.9359099454545,-2.5848045466882e-05,74
"7356",55.9532416111111,-2.5848045466882e-05,74
"7357",56.9705732767677,-2.5848045466882e-05,74
"7358",57.9879049424242,-2.5848045466882e-05,74
"7359",59.0052366080808,-2.5848045466882e-05,74
"7360",60.0225682737374,-2.5848045466882e-05,74
"7361",61.0398999393939,-2.5848045466882e-05,74
"7362",62.0572316050505,-2.5848045466882e-05,74
"7363",63.0745632707071,-3.02128975853977e-05,74
"7364",64.0918949363636,-3.11776697511065e-05,74
"7365",65.1092266020202,-3.11776697511065e-05,74
"7366",66.1265582676768,-3.11776697511065e-05,74
"7367",67.1438899333333,-3.19539153510966e-05,74
"7368",68.1612215989899,-3.19539153510966e-05,74
"7369",69.1785532646465,-3.28733883512696e-05,74
"7370",70.195884930303,-3.28733883512696e-05,74
"7371",71.2132165959596,-3.50660916099662e-05,74
"7372",72.2305482616162,-3.73415226907123e-05,74
"7373",73.2478799272727,-3.90026920915276e-05,74
"7374",74.2652115929293,-3.90026920915276e-05,74
"7375",75.2825432585859,-3.90026920915276e-05,74
"7376",76.2998749242424,-3.90026920915276e-05,74
"7377",77.317206589899,-3.90026920915276e-05,74
"7378",78.3345382555556,-3.90026920915276e-05,74
"7379",79.3518699212121,-4.32297753227861e-05,74
"7380",80.3692015868687,-6.98092941193383e-05,74
"7381",81.3865332525253,-8.36424421626444e-05,74
"7382",82.4038649181818,-9.21944868633137e-05,74
"7383",83.4211965838384,-9.56115873588416e-05,74
"7384",84.438528249495,-0.000100392085778936,74
"7385",85.4558599151515,-0.000102991292869783,74
"7386",86.4731915808081,-0.000100639866741518,74
"7387",87.4905232464646,-0.000105722124334492,74
"7388",88.5078549121212,-0.00010889633186908,74
"7389",89.5251865777778,-0.000110791523425607,74
"7390",90.5425182434343,-0.000110791523425607,74
"7391",91.5598499090909,-0.00010053084405132,74
"7392",92.5771815747475,-0.000131475548761704,74
"7393",93.594513240404,-0.000122201377143286,74
"7394",94.6118449060606,-0.000160123041854299,74
"7395",95.6291765717172,-0.000176778832958275,74
