"","DEM","y","run"
"2693",2487.02350649139,0.00263483322360546,27
"2694",2514.08443770691,0.00263483322360546,27
"2695",2541.14536892242,0.00263483322360546,27
"2696",2568.20630013794,0.00263483322360546,27
"2697",2595.26723135345,0.00263483322360546,27
"2698",2622.32816256897,0.00263483322360546,27
"2699",2649.38909378448,0.00263483322360546,27
"2700",2676.450025,0.00263483322360546,27
"2701",-2.582165336,0.000140583858558936,28
"2702",24.4787658795152,0.000103625766933847,28
"2703",51.5396970950303,7.32962900166478e-05,28
"2704",78.6006283105454,7.25421307002317e-05,28
"2705",105.661559526061,3.88535044434709e-05,28
"2706",132.722490741576,-5.90251076161158e-06,28
"2707",159.783421957091,-1.94382230853427e-05,28
"2708",186.844353172606,-2.89156217979229e-05,28
"2709",213.905284388121,-2.89156217979229e-05,28
"2710",240.966215603636,-3.50426688457948e-05,28
"2711",268.027146819151,-3.50426688457948e-05,28
"2712",295.088078034667,-3.50426688457948e-05,28
"2713",322.149009250182,-3.50426688457948e-05,28
"2714",349.209940465697,-3.50426688457948e-05,28
"2715",376.270871681212,-3.18022426876747e-05,28
"2716",403.331802896727,-2.88647877869956e-05,28
"2717",430.392734112242,-2.88647877869956e-05,28
"2718",457.453665327758,-4.87715093743815e-06,28
"2719",484.514596543273,7.6765423593607e-06,28
"2720",511.575527758788,3.5461894271073e-05,28
"2721",538.636458974303,8.90500105366279e-05,28
"2722",565.697390189818,0.000115214901170397,28
"2723",592.758321405333,0.000128833101588414,28
"2724",619.819252620848,0.000173115263317509,28
"2725",646.880183836364,0.000230316412340065,28
"2726",673.941115051879,0.000235914840210819,28
"2727",701.002046267394,0.000263112715506945,28
"2728",728.062977482909,0.000284536794401374,28
"2729",755.123908698424,0.000292217649898166,28
"2730",782.184839913939,0.000349461879407796,28
"2731",809.245771129455,0.000349461879407796,28
"2732",836.30670234497,0.000349461879407796,28
"2733",863.367633560485,0.000349461879407796,28
"2734",890.428564776,0.000349461879407796,28
"2735",917.489495991515,0.000375547451693654,28
"2736",944.55042720703,0.000398176149023304,28
"2737",971.611358422545,0.000408427356598224,28
"2738",998.672289638061,0.000442371751719165,28
"2739",1025.73322085358,0.000522854838551942,28
"2740",1052.79415206909,0.000522854838551942,28
"2741",1079.85508328461,0.000693643109371203,28
"2742",1106.91601450012,0.000693643109371203,28
"2743",1133.97694571564,0.000693643109371203,28
"2744",1161.03787693115,0.000693643109371203,28
"2745",1188.09880814667,0.000693643109371203,28
"2746",1215.15973936218,0.00074744589367267,28
"2747",1242.2206705777,0.000787117640009802,28
"2748",1269.28160179321,0.000787117640009802,28
"2749",1296.34253300873,0.000787117640009802,28
"2750",1323.40346422424,0.000834865812904884,28
"2751",1350.46439543976,0.000856387417711148,28
"2752",1377.52532665527,0.0011703265811705,28
"2753",1404.58625787079,0.00132396191060496,28
"2754",1431.6471890863,0.00194938850319096,28
"2755",1458.70812030182,0.00212567506780788,28
"2756",1485.76905151733,0.00212567506780788,28
"2757",1512.82998273285,0.00213741181998417,28
"2758",1539.89091394836,0.00215146631602335,28
"2759",1566.95184516388,0.00216673595105087,28
"2760",1594.01277637939,0.00220748416589113,28
"2761",1621.07370759491,0.0022216188200671,28
"2762",1648.13463881042,0.0022216188200671,28
"2763",1675.19557002594,0.0022216188200671,28
"2764",1702.25650124145,0.0022216188200671,28
"2765",1729.31743245697,0.0022216188200671,28
"2766",1756.37836367248,0.0022216188200671,28
"2767",1783.439294888,0.0022216188200671,28
"2768",1810.50022610352,0.0022216188200671,28
"2769",1837.56115731903,0.00231652210610391,28
"2770",1864.62208853455,0.00231652210610391,28
"2771",1891.68301975006,0.00231652210610391,28
"2772",1918.74395096558,0.00231652210610391,28
"2773",1945.80488218109,0.00231652210610391,28
"2774",1972.86581339661,0.00231652210610391,28
