"","WindstormIntensity","y","run"
"1",14.71044683,0.000290865664443171,1
"2",15.1827907507071,0.000290865664443171,1
"3",15.6551346714141,0.000290865664443171,1
"4",16.1274785921212,0.000290865664443171,1
"5",16.5998225128283,0.000290865664443171,1
"6",17.0721664335354,0.000290865664443171,1
"7",17.5445103542424,0.000290865664443171,1
"8",18.0168542749495,0.000290865664443171,1
"9",18.4891981956566,0.000290865664443171,1
"10",18.9615421163636,0.000290865664443171,1
"11",19.4338860370707,0.000288795897454438,1
"12",19.9062299577778,0.000287101726256286,1
"13",20.3785738784849,0.000287101726256286,1
"14",20.8509177991919,0.000254763737256398,1
"15",21.323261719899,0.000225864500693222,1
"16",21.7956056406061,0.000144732202253591,1
"17",22.2679495613131,0.000115798445541742,1
"18",22.7402934820202,5.61740422541015e-05,1
"19",23.2126374027273,2.09050949230126e-05,1
"20",23.6849813234343,-1.18560968858564e-05,1
"21",24.1573252441414,-3.67750886378498e-05,1
"22",24.6296691648485,-4.65011712202829e-05,1
"23",25.1020130855556,-8.03324651605702e-05,1
"24",25.5743570062626,-8.85748561536871e-05,1
"25",26.0467009269697,-0.00010166409505109,1
"26",26.5190448476768,-0.000121248454711786,1
"27",26.9913887683838,-0.000127907549160126,1
"28",27.4637326890909,-0.000137422125469957,1
"29",27.936076609798,-0.000137422125469957,1
"30",28.4084205305051,-0.000137422125469957,1
"31",28.8807644512121,-0.000137422125469957,1
"32",29.3531083719192,-0.000137422125469957,1
"33",29.8254522926263,-0.000136302758884857,1
"34",30.2977962133333,-0.000136302758884857,1
"35",30.7701401340404,-0.000136302758884857,1
"36",31.2424840547475,-0.000140566845293232,1
"37",31.7148279754545,-0.000140566845293232,1
"38",32.1871718961616,-0.00014600974317759,1
"39",32.6595158168687,-0.000151487273426058,1
"40",33.1318597375758,-0.000152637216726437,1
"41",33.6042036582828,-0.000154279961848427,1
"42",34.0765475789899,-0.000154551170870873,1
"43",34.548891499697,-0.000157689722308651,1
"44",35.021235420404,-0.000158685629424581,1
"45",35.4935793411111,-0.000157243434618346,1
"46",35.9659232618182,-0.000150581582627862,1
"47",36.4382671825253,-0.000158354333234813,1
"48",36.9106111032323,-0.000158354333234813,1
"49",37.3829550239394,-0.000157611279660267,1
"50",37.8552989446465,-0.000143826800315641,1
"51",38.3276428653535,-0.000143469873152585,1
"52",38.7999867860606,-0.00013864170396891,1
"53",39.2723307067677,-0.00013864170396891,1
"54",39.7446746274748,-0.00013864170396891,1
"55",40.2170185481818,-0.00013864170396891,1
"56",40.6893624688889,-0.00013864170396891,1
"57",41.161706389596,-0.00013864170396891,1
"58",41.634050310303,-0.00013864170396891,1
"59",42.1063942310101,-0.00013864170396891,1
"60",42.5787381517172,-0.00013864170396891,1
"61",43.0510820724242,-0.00013864170396891,1
"62",43.5234259931313,-0.00013864170396891,1
"63",43.9957699138384,-0.00013864170396891,1
"64",44.4681138345455,-0.00013864170396891,1
"65",44.9404577552525,-0.00013864170396891,1
"66",45.4128016759596,-0.00013864170396891,1
"67",45.8851455966667,-0.00013864170396891,1
"68",46.3574895173737,-0.00013864170396891,1
"69",46.8298334380808,-0.00013864170396891,1
"70",47.3021773587879,-0.00013864170396891,1
"71",47.774521279495,-0.00013864170396891,1
"72",48.246865200202,-0.00013864170396891,1
"73",48.7192091209091,-0.00013864170396891,1
"74",49.1915530416162,-0.00013864170396891,1
"75",49.6638969623232,-0.00013864170396891,1
"76",50.1362408830303,-0.00013864170396891,1
"77",50.6085848037374,-0.00013864170396891,1
"78",51.0809287244444,-0.00013864170396891,1
"79",51.5532726451515,-0.00013864170396891,1
"80",52.0256165658586,-0.00013864170396891,1
"81",52.4979604865657,-0.00013864170396891,1
"82",52.9703044072727,-0.00013864170396891,1
"83",53.4426483279798,-0.00013864170396891,1
"84",53.9149922486869,-0.00013864170396891,1
"85",54.3873361693939,-0.00013864170396891,1
"86",54.859680090101,-0.00013864170396891,1
"87",55.3320240108081,-0.00013864170396891,1
"88",55.8043679315152,-0.00013864170396891,1
"89",56.2767118522222,-0.00013864170396891,1
"90",56.7490557729293,-0.00013864170396891,1
"91",57.2213996936364,-0.00013864170396891,1
"92",57.6937436143434,-0.00013864170396891,1
"93",58.1660875350505,-0.00013864170396891,1
"94",58.6384314557576,-0.00013864170396891,1
"95",59.1107753764647,-0.00013864170396891,1
"96",59.5831192971717,-0.00013864170396891,1
"97",60.0554632178788,-0.00013864170396891,1
"98",60.5278071385859,-0.00013864170396891,1
"99",61.0001510592929,-0.00013864170396891,1
"100",61.47249498,-0.00013864170396891,1
"101",14.71044683,0.000293796412774106,2
"102",15.1827907507071,0.000293796412774106,2
"103",15.6551346714141,0.000293796412774106,2
"104",16.1274785921212,0.000293796412774106,2
"105",16.5998225128283,0.000293796412774106,2
"106",17.0721664335354,0.000293796412774106,2
"107",17.5445103542424,0.000293796412774106,2
"108",18.0168542749495,0.000293796412774106,2
"109",18.4891981956566,0.000293796412774106,2
"110",18.9615421163636,0.000293796412774106,2
"111",19.4338860370707,0.000293796412774106,2
"112",19.9062299577778,0.000291189940368186,2
"113",20.3785738784849,0.000288998962273166,2
"114",20.8509177991919,0.00025998830240297,2
"115",21.323261719899,0.000227284931686497,2
"116",21.7956056406061,0.000131383258886983,2
"117",22.2679495613131,0.000118121672277611,2
"118",22.7402934820202,6.67404651108003e-05,2
"119",23.2126374027273,4.57294757535215e-05,2
"120",23.6849813234343,-6.0467034502772e-06,2
"121",24.1573252441414,-2.91773420821085e-05,2
"122",24.6296691648485,-4.573626222425e-05,2
