"","WildfireIntensity","y","run"
"1",0,-3.23980887669237e-05,1
"2",79.2359675151515,-2.47885798770114e-05,1
"3",158.471935030303,-2.562904106543e-05,1
"4",237.707902545455,-2.562904106543e-05,1
"5",316.943870060606,-2.562904106543e-05,1
"6",396.179837575758,-2.26215979653326e-05,1
"7",475.415805090909,-2.26215979653326e-05,1
"8",554.651772606061,-2.26215979653326e-05,1
"9",633.887740121212,-2.26215979653326e-05,1
"10",713.123707636364,-2.26215979653326e-05,1
"11",792.359675151515,-2.26215979653326e-05,1
"12",871.595642666667,-2.26215979653326e-05,1
"13",950.831610181818,-2.26215979653326e-05,1
"14",1030.06757769697,-2.26215979653326e-05,1
"15",1109.30354521212,-2.26215979653326e-05,1
"16",1188.53951272727,-2.26215979653326e-05,1
"17",1267.77548024242,-2.26215979653326e-05,1
"18",1347.01144775758,-2.26215979653326e-05,1
"19",1426.24741527273,-2.26215979653326e-05,1
"20",1505.48338278788,-2.26215979653326e-05,1
"21",1584.71935030303,-2.26215979653326e-05,1
"22",1663.95531781818,-2.26215979653326e-05,1
"23",1743.19128533333,-2.26215979653326e-05,1
"24",1822.42725284848,-2.10183480909212e-05,1
"25",1901.66322036364,-2.10183480909212e-05,1
"26",1980.89918787879,-2.10183480909212e-05,1
"27",2060.13515539394,-2.10183480909212e-05,1
"28",2139.37112290909,1.15732534675122e-05,1
"29",2218.60709042424,1.15732534675122e-05,1
"30",2297.84305793939,1.89585965661582e-05,1
"31",2377.07902545455,2.647434207287e-05,1
"32",2456.3149929697,2.647434207287e-05,1
"33",2535.55096048485,2.647434207287e-05,1
"34",2614.786928,2.647434207287e-05,1
"35",2694.02289551515,2.647434207287e-05,1
"36",2773.2588630303,2.647434207287e-05,1
"37",2852.49483054545,6.66293874085208e-05,1
"38",2931.73079806061,6.66293874085208e-05,1
"39",3010.96676557576,6.66293874085208e-05,1
"40",3090.20273309091,5.62121254011014e-05,1
"41",3169.43870060606,6.54104462717969e-05,1
"42",3248.67466812121,6.54104462717969e-05,1
"43",3327.91063563636,6.54104462717969e-05,1
"44",3407.14660315152,5.46634195212526e-05,1
"45",3486.38257066667,5.46634195212526e-05,1
"46",3565.61853818182,8.50584143368672e-06,1
"47",3644.85450569697,2.88414348507634e-05,1
"48",3724.09047321212,1.81048268702215e-05,1
"49",3803.32644072727,6.52895378348513e-06,1
"50",3882.56240824242,6.52895378348513e-06,1
"51",3961.79837575758,6.52895378348513e-06,1
"52",4041.03434327273,6.52895378348513e-06,1
"53",4120.27031078788,6.52895378348513e-06,1
"54",4199.50627830303,6.52895378348513e-06,1
"55",4278.74224581818,6.52895378348513e-06,1
"56",4357.97821333333,6.52895378348513e-06,1
"57",4437.21418084848,6.52895378348513e-06,1
"58",4516.45014836364,6.52895378348513e-06,1
"59",4595.68611587879,6.52895378348513e-06,1
"60",4674.92208339394,6.52895378348513e-06,1
"61",4754.15805090909,6.52895378348513e-06,1
"62",4833.39401842424,6.52895378348513e-06,1
"63",4912.62998593939,6.52895378348513e-06,1
"64",4991.86595345455,6.52895378348513e-06,1
"65",5071.1019209697,6.52895378348513e-06,1
"66",5150.33788848485,6.52895378348513e-06,1
"67",5229.573856,6.52895378348513e-06,1
"68",5308.80982351515,6.52895378348513e-06,1
"69",5388.0457910303,6.52895378348513e-06,1
"70",5467.28175854545,6.52895378348513e-06,1
"71",5546.51772606061,6.52895378348513e-06,1
"72",5625.75369357576,6.52895378348513e-06,1
"73",5704.98966109091,6.52895378348513e-06,1
"74",5784.22562860606,6.52895378348513e-06,1
"75",5863.46159612121,6.52895378348513e-06,1
"76",5942.69756363636,6.52895378348513e-06,1
"77",6021.93353115152,6.52895378348513e-06,1
"78",6101.16949866667,6.52895378348513e-06,1
"79",6180.40546618182,6.52895378348513e-06,1
"80",6259.64143369697,6.52895378348513e-06,1
"81",6338.87740121212,6.52895378348513e-06,1
"82",6418.11336872727,6.52895378348513e-06,1
"83",6497.34933624242,6.52895378348513e-06,1
"84",6576.58530375758,6.52895378348513e-06,1
"85",6655.82127127273,6.52895378348513e-06,1
"86",6735.05723878788,6.52895378348513e-06,1
"87",6814.29320630303,6.52895378348513e-06,1
"88",6893.52917381818,6.52895378348513e-06,1
"89",6972.76514133333,6.52895378348513e-06,1
"90",7052.00110884848,6.52895378348513e-06,1
"91",7131.23707636364,6.52895378348513e-06,1
"92",7210.47304387879,6.52895378348513e-06,1
"93",7289.70901139394,6.52895378348513e-06,1
"94",7368.94497890909,6.52895378348513e-06,1
"95",7448.18094642424,6.52895378348513e-06,1
"96",7527.41691393939,6.52895378348513e-06,1
"97",7606.65288145455,6.52895378348513e-06,1
"98",7685.8888489697,6.52895378348513e-06,1
"99",7765.12481648485,6.52895378348513e-06,1
"100",7844.360784,6.52895378348513e-06,1
"101",0,-3.0162764176045e-05,2
"102",79.2359675151515,-2.09406233333453e-05,2
"103",158.471935030303,-2.09406233333453e-05,2
"104",237.707902545455,-1.97289839717443e-05,2
"105",316.943870060606,-1.97289839717443e-05,2
"106",396.179837575758,-1.97289839717443e-05,2
"107",475.415805090909,-1.97289839717443e-05,2
"108",554.651772606061,-1.97289839717443e-05,2
"109",633.887740121212,-1.97289839717443e-05,2
"110",713.123707636364,-1.97289839717443e-05,2
"111",792.359675151515,-1.97289839717443e-05,2
"112",871.595642666667,-1.97289839717443e-05,2
"113",950.831610181818,-1.97289839717443e-05,2
"114",1030.06757769697,-1.82606236972347e-05,2
"115",1109.30354521212,-1.82606236972347e-05,2
"116",1188.53951272727,-1.82606236972347e-05,2
"117",1267.77548024242,-1.82606236972347e-05,2
"118",1347.01144775758,-1.82606236972347e-05,2
"119",1426.24741527273,-1.82606236972347e-05,2
"120",1505.48338278788,-1.65419662236592e-05,2
"121",1584.71935030303,-1.65419662236592e-05,2
"122",1663.95531781818,-1.65419662236592e-05,2
"123",1743.19128533333,-1.65419662236592e-05,2
"124",1822.42725284848,-1.65419662236592e-05,2
"125",1901.66322036364,-1.65419662236592e-05,2
"126",1980.89918787879,-1.99031912783356e-05,2
"127",2060.13515539394,-1.99031912783356e-05,2
"128",2139.37112290909,-1.86619685140032e-06,2
"129",2218.60709042424,-1.86619685140032e-06,2
"130",2297.84305793939,-1.86619685140032e-06,2
"131",2377.07902545455,-1.86619685140032e-06,2
"132",2456.3149929697,1.59416246004894e-05,2
"133",2535.55096048485,2.3935783924519e-05,2
"134",2614.786928,2.3935783924519e-05,2
"135",2694.02289551515,2.3935783924519e-05,2
"136",2773.2588630303,2.3935783924519e-05,2
"137",2852.49483054545,8.23532097614972e-05,2
"138",2931.73079806061,8.23532097614972e-05,2
"139",3010.96676557576,8.23532097614972e-05,2
"140",3090.20273309091,8.23532097614972e-05,2
"141",3169.43870060606,9.25159974652561e-05,2
"142",3248.67466812121,9.25159974652561e-05,2
"143",3327.91063563636,8.08184457578136e-05,2
"144",3407.14660315152,8.08184457578136e-05,2
"145",3486.38257066667,6.83811817580498e-05,2
"146",3565.61853818182,4.97699673994161e-05,2
"147",3644.85450569697,6.19978782825704e-05,2
"148",3724.09047321212,6.19978782825704e-05,2
"149",3803.32644072727,6.19978782825704e-05,2
"150",3882.56240824242,6.19978782825704e-05,2
"151",3961.79837575758,6.19978782825704e-05,2
"152",4041.03434327273,6.19978782825704e-05,2
"153",4120.27031078788,6.19978782825704e-05,2
"154",4199.50627830303,6.19978782825704e-05,2
"155",4278.74224581818,6.19978782825704e-05,2
"156",4357.97821333333,6.19978782825704e-05,2
"157",4437.21418084848,6.19978782825704e-05,2
"158",4516.45014836364,6.19978782825704e-05,2
"159",4595.68611587879,6.19978782825704e-05,2
"160",4674.92208339394,6.19978782825704e-05,2
"161",4754.15805090909,6.19978782825704e-05,2
"162",4833.39401842424,6.19978782825704e-05,2
"163",4912.62998593939,6.19978782825704e-05,2
"164",4991.86595345455,6.19978782825704e-05,2
"165",5071.1019209697,6.19978782825704e-05,2
"166",5150.33788848485,6.19978782825704e-05,2
"167",5229.573856,6.19978782825704e-05,2
"168",5308.80982351515,6.19978782825704e-05,2
"169",5388.0457910303,6.19978782825704e-05,2
"170",5467.28175854545,6.19978782825704e-05,2
"171",5546.51772606061,6.19978782825704e-05,2
"172",5625.75369357576,6.19978782825704e-05,2
"173",5704.98966109091,6.19978782825704e-05,2
"174",5784.22562860606,6.19978782825704e-05,2
"175",5863.46159612121,6.19978782825704e-05,2
"176",5942.69756363636,6.19978782825704e-05,2
"177",6021.93353115152,6.19978782825704e-05,2
"178",6101.16949866667,6.19978782825704e-05,2
"179",6180.40546618182,6.19978782825704e-05,2
"180",6259.64143369697,6.19978782825704e-05,2
"181",6338.87740121212,6.19978782825704e-05,2
"182",6418.11336872727,6.19978782825704e-05,2
"183",6497.34933624242,6.19978782825704e-05,2
"184",6576.58530375758,6.19978782825704e-05,2
"185",6655.82127127273,6.19978782825704e-05,2
"186",6735.05723878788,6.19978782825704e-05,2
"187",6814.29320630303,6.19978782825704e-05,2
"188",6893.52917381818,6.19978782825704e-05,2
"189",6972.76514133333,6.19978782825704e-05,2
"190",7052.00110884848,6.19978782825704e-05,2
"191",7131.23707636364,6.19978782825704e-05,2
"192",7210.47304387879,6.19978782825704e-05,2
"193",7289.70901139394,6.19978782825704e-05,2
"194",7368.94497890909,6.19978782825704e-05,2
"195",7448.18094642424,6.19978782825704e-05,2
"196",7527.41691393939,6.19978782825704e-05,2
"197",7606.65288145455,6.19978782825704e-05,2
"198",7685.8888489697,6.19978782825704e-05,2
"199",7765.12481648485,6.19978782825704e-05,2
"200",7844.360784,6.19978782825704e-05,2
"201",0,-3.43253086672749e-05,3
"202",79.2359675151515,-2.12995589580181e-05,3
"203",158.471935030303,-2.12995589580181e-05,3
"204",237.707902545455,-1.98747825762705e-05,3
"205",316.943870060606,-1.98747825762705e-05,3
"206",396.179837575758,-1.98747825762705e-05,3
"207",475.415805090909,-1.98747825762705e-05,3
"208",554.651772606061,-1.98747825762705e-05,3
"209",633.887740121212,-1.98747825762705e-05,3
"210",713.123707636364,-1.98747825762705e-05,3
"211",792.359675151515,-1.98747825762705e-05,3
"212",871.595642666667,-1.98747825762705e-05,3
"213",950.831610181818,-1.98747825762705e-05,3
"214",1030.06757769697,-1.62038055068602e-05,3
"215",1109.30354521212,-1.62038055068602e-05,3
"216",1188.53951272727,-1.62038055068602e-05,3
"217",1267.77548024242,-1.62038055068602e-05,3
"218",1347.01144775758,-1.62038055068602e-05,3
"219",1426.24741527273,-1.62038055068602e-05,3
"220",1505.48338278788,-1.62038055068602e-05,3
"221",1584.71935030303,-1.62038055068602e-05,3
"222",1663.95531781818,-1.62038055068602e-05,3
"223",1743.19128533333,-1.62038055068602e-05,3
"224",1822.42725284848,-1.46264486420457e-05,3
"225",1901.66322036364,-1.32395766323047e-05,3
"226",1980.89918787879,-1.32395766323047e-05,3
"227",2060.13515539394,-1.32395766323047e-05,3
"228",2139.37112290909,5.89341176923455e-06,3
"229",2218.60709042424,5.89341176923455e-06,3
"230",2297.84305793939,5.89341176923455e-06,3
"231",2377.07902545455,5.89341176923455e-06,3
"232",2456.3149929697,3.25424688606004e-05,3
"233",2535.55096048485,3.25424688606004e-05,3
"234",2614.786928,4.00317276450574e-05,3
"235",2694.02289551515,4.00317276450574e-05,3
"236",2773.2588630303,4.00317276450574e-05,3
"237",2852.49483054545,4.94627741684527e-05,3
"238",2931.73079806061,4.94627741684527e-05,3
"239",3010.96676557576,4.94627741684527e-05,3
"240",3090.20273309091,4.94627741684527e-05,3
"241",3169.43870060606,4.94627741684527e-05,3
"242",3248.67466812121,6.18385009970133e-05,3
"243",3327.91063563636,6.18385009970133e-05,3
"244",3407.14660315152,6.18385009970133e-05,3
"245",3486.38257066667,4.9177565932194e-05,3
"246",3565.61853818182,-7.35630399668705e-06,3
"247",3644.85450569697,7.26008193260245e-05,3
"248",3724.09047321212,7.26008193260245e-05,3
"249",3803.32644072727,7.26008193260245e-05,3
"250",3882.56240824242,7.26008193260245e-05,3
"251",3961.79837575758,5.13705754152157e-05,3
"252",4041.03434327273,5.13705754152157e-05,3
"253",4120.27031078788,5.13705754152157e-05,3
"254",4199.50627830303,5.13705754152157e-05,3
"255",4278.74224581818,5.13705754152157e-05,3
"256",4357.97821333333,5.13705754152157e-05,3
"257",4437.21418084848,5.13705754152157e-05,3
"258",4516.45014836364,5.13705754152157e-05,3
"259",4595.68611587879,5.13705754152157e-05,3
"260",4674.92208339394,5.13705754152157e-05,3
"261",4754.15805090909,5.13705754152157e-05,3
"262",4833.39401842424,5.13705754152157e-05,3
"263",4912.62998593939,5.13705754152157e-05,3
"264",4991.86595345455,5.13705754152157e-05,3
"265",5071.1019209697,5.13705754152157e-05,3
"266",5150.33788848485,5.13705754152157e-05,3
"267",5229.573856,5.13705754152157e-05,3
"268",5308.80982351515,5.13705754152157e-05,3
"269",5388.0457910303,5.13705754152157e-05,3
"270",5467.28175854545,5.13705754152157e-05,3
"271",5546.51772606061,5.13705754152157e-05,3
"272",5625.75369357576,5.13705754152157e-05,3
