"","ATP","y","run"
"6232",1129.01490268687,-1.50666937947605e-05,63
"6233",1156.15343367677,-1.50666937947605e-05,63
"6234",1183.29196466667,-1.50666937947605e-05,63
"6235",1210.43049565657,-1.50666937947605e-05,63
"6236",1237.56902664646,-1.50666937947605e-05,63
"6237",1264.70755763636,-1.50666937947605e-05,63
"6238",1291.84608862626,-1.50666937947605e-05,63
"6239",1318.98461961616,-1.50666937947605e-05,63
"6240",1346.12315060606,-1.50666937947605e-05,63
"6241",1373.26168159596,-1.50666937947605e-05,63
"6242",1400.40021258586,-1.50666937947605e-05,63
"6243",1427.53874357576,-1.50666937947605e-05,63
"6244",1454.67727456566,-1.50666937947605e-05,63
"6245",1481.81580555556,-1.50666937947605e-05,63
"6246",1508.95433654545,-1.50666937947605e-05,63
"6247",1536.09286753535,-1.50666937947605e-05,63
"6248",1563.23139852525,-1.50666937947605e-05,63
"6249",1590.36992951515,-1.50666937947605e-05,63
"6250",1617.50846050505,-1.50666937947605e-05,63
"6251",1644.64699149495,-1.50666937947605e-05,63
"6252",1671.78552248485,-1.50666937947605e-05,63
"6253",1698.92405347475,-1.50666937947605e-05,63
"6254",1726.06258446465,-1.50666937947605e-05,63
"6255",1753.20111545455,-2.20513847317174e-05,63
"6256",1780.33964644444,-2.20513847317174e-05,63
"6257",1807.47817743434,-2.20513847317174e-05,63
"6258",1834.61670842424,-2.20513847317174e-05,63
"6259",1861.75523941414,-2.20513847317174e-05,63
"6260",1888.89377040404,-2.20513847317174e-05,63
"6261",1916.03230139394,-3.15344784198723e-05,63
"6262",1943.17083238384,-5.58471637061274e-05,63
"6263",1970.30936337374,-7.60130009621361e-05,63
"6264",1997.44789436364,-0.000112378609461986,63
"6265",2024.58642535354,-0.000148595491661848,63
"6266",2051.72495634343,-0.000227892821330563,63
"6267",2078.86348733333,-0.000227892821330563,63
"6268",2106.00201832323,-0.000239643032777301,63
"6269",2133.14054931313,-0.000255406702762068,63
"6270",2160.27908030303,-0.000255406702762068,63
"6271",2187.41761129293,-0.000255406702762068,63
"6272",2214.55614228283,-0.000255406702762068,63
"6273",2241.69467327273,-0.000255406702762068,63
"6274",2268.83320426263,-0.000255406702762068,63
"6275",2295.97173525253,-0.000255406702762068,63
"6276",2323.11026624242,-0.000269982251797735,63
"6277",2350.24879723232,-0.000269982251797735,63
"6278",2377.38732822222,-0.000269982251797735,63
"6279",2404.52585921212,-0.000269982251797735,63
"6280",2431.66439020202,-0.000269982251797735,63
"6281",2458.80292119192,-0.000269982251797735,63
"6282",2485.94145218182,-0.000269982251797735,63
"6283",2513.07998317172,-0.000269982251797735,63
"6284",2540.21851416162,-0.000269982251797735,63
"6285",2567.35704515152,-0.000269982251797735,63
"6286",2594.49557614141,-0.000269982251797735,63
"6287",2621.63410713131,-0.000269982251797735,63
"6288",2648.77263812121,-0.000269982251797735,63
"6289",2675.91116911111,-0.000269982251797735,63
"6290",2703.04970010101,-0.000269982251797735,63
"6291",2730.18823109091,-0.000269982251797735,63
"6292",2757.32676208081,-0.000269982251797735,63
"6293",2784.46529307071,-0.000269982251797735,63
"6294",2811.60382406061,-0.000269982251797735,63
"6295",2838.74235505051,-0.000269982251797735,63
"6296",2865.8808860404,-0.000269982251797735,63
"6297",2893.0194170303,-0.000269982251797735,63
"6298",2920.1579480202,-0.000269982251797735,63
"6299",2947.2964790101,-0.000269982251797735,63
"6300",2974.43501,-0.000269982251797735,63
"6301",287.720442,0.00119127178299893,64
"6302",314.858972989899,0.00119127178299893,64
"6303",341.997503979798,0.00119127178299893,64
"6304",369.136034969697,0.00119127178299893,64
"6305",396.274565959596,0.00119127178299893,64
"6306",423.413096949495,0.00113498347407038,64
"6307",450.551627939394,0.000829685782950869,64
"6308",477.690158929293,0.000760425956742174,64
"6309",504.828689919192,0.000753130353793447,64
"6310",531.967220909091,0.000689212240694292,64
"6311",559.10575189899,0.000574816151849007,64
"6312",586.244282888889,0.000459098979445889,64
"6313",613.382813878788,0.00045215605086214,64
"6314",640.521344868687,0.00045215605086214,64
"6315",667.659875858586,0.00045215605086214,64
"6316",694.798406848485,0.000250924973506735,64
"6317",721.936937838384,0.000146245259596662,64
"6318",749.075468828283,3.33769025177653e-05,64
"6319",776.213999818182,3.33769025177653e-05,64
"6320",803.352530808081,4.84434682773155e-05,64
"6321",830.49106179798,5.62416834107008e-05,64
"6322",857.629592787879,5.4814156687841e-05,64
"6323",884.768123777778,2.72242039465164e-05,64
"6324",911.906654767677,-8.42229782378812e-07,64
"6325",939.045185757576,-1.43699054493571e-05,64
"6326",966.183716747475,-1.32430235021202e-05,64
"6327",993.322247737374,-1.32430235021202e-05,64
"6328",1020.46077872727,-1.32430235021202e-05,64
"6329",1047.59930971717,-1.47932685077541e-05,64
"6330",1074.73784070707,-1.79314093422649e-05,64
"6331",1101.87637169697,-1.79314093422649e-05,64
"6332",1129.01490268687,-1.79314093422649e-05,64
"6333",1156.15343367677,-1.79314093422649e-05,64
"6334",1183.29196466667,-1.79314093422649e-05,64
"6335",1210.43049565657,-1.79314093422649e-05,64
"6336",1237.56902664646,-1.79314093422649e-05,64
"6337",1264.70755763636,-1.79314093422649e-05,64
"6338",1291.84608862626,-1.79314093422649e-05,64
"6339",1318.98461961616,-1.79314093422649e-05,64
"6340",1346.12315060606,-1.79314093422649e-05,64
"6341",1373.26168159596,-1.79314093422649e-05,64
"6342",1400.40021258586,-1.79314093422649e-05,64
"6343",1427.53874357576,-1.79314093422649e-05,64
"6344",1454.67727456566,-1.79314093422649e-05,64
"6345",1481.81580555556,-1.79314093422649e-05,64
"6346",1508.95433654545,-1.79314093422649e-05,64
"6347",1536.09286753535,-1.79314093422649e-05,64
"6348",1563.23139852525,-1.79314093422649e-05,64
"6349",1590.36992951515,-1.79314093422649e-05,64
"6350",1617.50846050505,-1.79314093422649e-05,64
"6351",1644.64699149495,-1.79314093422649e-05,64
"6352",1671.78552248485,-1.79314093422649e-05,64
"6353",1698.92405347475,-1.79314093422649e-05,64
"6354",1726.06258446465,-1.79314093422649e-05,64
"6355",1753.20111545455,-1.79314093422649e-05,64
"6356",1780.33964644444,-1.79314093422649e-05,64
"6357",1807.47817743434,-1.79314093422649e-05,64
"6358",1834.61670842424,-1.79314093422649e-05,64
"6359",1861.75523941414,-1.79314093422649e-05,64
