"","AMT","y","run"
"6463",283.437744611111,3.98151942242016e-05,65
"6464",283.6665561,3.51551923614402e-05,65
"6465",283.895367588889,3.51551923614402e-05,65
"6466",284.124179077778,3.51551923614402e-05,65
"6467",284.352990566667,3.07265700050715e-05,65
"6468",284.581802055556,3.07265700050715e-05,65
"6469",284.810613544444,3.07265700050715e-05,65
"6470",285.039425033333,3.07265700050715e-05,65
"6471",285.268236522222,3.07265700050715e-05,65
"6472",285.497048011111,3.07265700050715e-05,65
"6473",285.7258595,3.07265700050715e-05,65
"6474",285.954670988889,1.38976271530466e-05,65
"6475",286.183482477778,-0.000156435690121906,65
"6476",286.412293966667,-0.000307111837794198,65
"6477",286.641105455556,-0.000356623540869705,65
"6478",286.869916944444,-0.000376824462042758,65
"6479",287.098728433333,-0.000376824462042758,65
"6480",287.327539922222,-0.000376824462042758,65
"6481",287.556351411111,-0.00038069251283013,65
"6482",287.7851629,-0.000409822926830348,65
"6483",288.013974388889,-0.000581152608748001,65
"6484",288.242785877778,-0.000592911098206554,65
"6485",288.471597366667,-0.000599118077607271,65
"6486",288.700408855556,-0.000684598821851057,65
"6487",288.929220344444,-0.000730963490290476,65
"6488",289.158031833333,-0.000730963490290476,65
"6489",289.386843322222,-0.000730963490290476,65
"6490",289.615654811111,-0.000730963490290476,65
"6491",289.8444663,-0.000730963490290476,65
"6492",290.073277788889,-0.000730963490290476,65
"6493",290.302089277778,-0.000730963490290476,65
"6494",290.530900766667,-0.000730963490290476,65
"6495",290.759712255556,-0.000730963490290476,65
"6496",290.988523744444,-0.000730963490290476,65
"6497",291.217335233333,-0.000730963490290476,65
"6498",291.446146722222,-0.000730963490290476,65
"6499",291.674958211111,-0.000730963490290476,65
"6500",291.9037697,-0.000730963490290476,65
"6501",269.2514323,-0.00191935442601454,66
"6502",269.480243788889,-0.00191935442601454,66
"6503",269.709055277778,-0.00191935442601454,66
"6504",269.937866766667,-0.00191935442601454,66
"6505",270.166678255556,-0.00191935442601454,66
"6506",270.395489744444,-0.00191935442601454,66
"6507",270.624301233333,-0.00191935442601454,66
"6508",270.853112722222,-0.00191935442601454,66
"6509",271.081924211111,-0.00191935442601454,66
"6510",271.3107357,-0.00191935442601454,66
"6511",271.539547188889,-0.00191935442601454,66
"6512",271.768358677778,-0.00191935442601454,66
"6513",271.997170166667,-0.00191935442601454,66
"6514",272.225981655556,-0.00191935442601454,66
"6515",272.454793144444,-0.00191197981556816,66
"6516",272.683604633333,-0.00190332405755719,66
"6517",272.912416122222,-0.00118349276170426,66
"6518",273.141227611111,-0.00106304972509224,66
"6519",273.3700391,-0.000992972488630786,66
"6520",273.598850588889,-0.000689434741484525,66
"6521",273.827662077778,-0.000246399959332998,66
"6522",274.056473566667,0.000312192580816684,66
"6523",274.285285055556,0.000423775878405176,66
"6524",274.514096544444,0.000469315602331198,66
"6525",274.742908033333,0.000615405290212276,66
"6526",274.971719522222,0.000658142509443603,66
"6527",275.200531011111,0.000658142509443603,66
"6528",275.4293425,0.000677427333755927,66
"6529",275.658153988889,0.00071145106434163,66
"6530",275.886965477778,0.000744036843876021,66
"6531",276.115776966667,0.000768230477140869,66
"6532",276.344588455556,0.000772657393137777,66
"6533",276.573399944444,0.000772657393137777,66
"6534",276.802211433333,0.000772657393137777,66
"6535",277.031022922222,0.000772657393137777,66
"6536",277.259834411111,0.000772657393137777,66
"6537",277.4886459,0.000772657393137777,66
"6538",277.717457388889,0.000772657393137777,66
"6539",277.946268877778,0.000772657393137777,66
"6540",278.175080366667,0.000764731410960489,66
"6541",278.403891855556,0.000743301200713499,66
"6542",278.632703344444,0.000738468546796542,66
"6543",278.861514833333,0.000732822706882363,66
"6544",279.090326322222,0.000732822706882363,66
"6545",279.319137811111,0.000732101763025153,66
"6546",279.5479493,0.000731346683024224,66
"6547",279.776760788889,0.000731346683024224,66
"6548",280.005572277778,0.000731346683024224,66
"6549",280.234383766667,0.000731346683024224,66
"6550",280.463195255556,0.000731346683024224,66
"6551",280.692006744444,0.000731346683024224,66
"6552",280.920818233333,0.000731346683024224,66
"6553",281.149629722222,0.000731346683024224,66
"6554",281.378441211111,0.000720602583957612,66
"6555",281.6072527,0.000707221057369164,66
"6556",281.836064188889,0.000606944016326255,66
"6557",282.064875677778,0.00051779673275075,66
"6558",282.293687166667,0.00035459469228749,66
"6559",282.522498655556,0.000288175582178596,66
"6560",282.751310144444,0.000171613571669035,66
"6561",282.980121633333,6.26193776713933e-05,66
"6562",283.208933122222,4.13482187843098e-05,66
"6563",283.437744611111,3.87653912342963e-05,66
"6564",283.6665561,3.87653912342963e-05,66
"6565",283.895367588889,3.87653912342963e-05,66
"6566",284.124179077778,3.96678653805867e-05,66
"6567",284.352990566667,3.96678653805867e-05,66
"6568",284.581802055556,3.96678653805867e-05,66
"6569",284.810613544444,3.96678653805867e-05,66
"6570",285.039425033333,3.96678653805867e-05,66
"6571",285.268236522222,3.96678653805867e-05,66
"6572",285.497048011111,3.96678653805867e-05,66
"6573",285.7258595,3.96678653805867e-05,66
"6574",285.954670988889,1.51589568817367e-05,66
"6575",286.183482477778,-0.000102162192786433,66
"6576",286.412293966667,-0.000288165985520853,66
"6577",286.641105455556,-0.000359479666223362,66
"6578",286.869916944444,-0.000359479666223362,66
"6579",287.098728433333,-0.000359479666223362,66
"6580",287.327539922222,-0.000359479666223362,66
"6581",287.556351411111,-0.000366130459119552,66
"6582",287.7851629,-0.000366130459119552,66
"6583",288.013974388889,-0.000545336123235914,66
"6584",288.242785877778,-0.000545336123235914,66
"6585",288.471597366667,-0.000551613265907704,66
"6586",288.700408855556,-0.000647449834802063,66
"6587",288.929220344444,-0.000673337318732081,66
"6588",289.158031833333,-0.000680281769705254,66
"6589",289.386843322222,-0.000680281769705254,66
"6590",289.615654811111,-0.000680281769705254,66
"6591",289.8444663,-0.000680281769705254,66
"6592",290.073277788889,-0.000680281769705254,66
"6593",290.302089277778,-0.000680281769705254,66
"6594",290.530900766667,-0.000680281769705254,66
"6595",290.759712255556,-0.000680281769705254,66
"6596",290.988523744444,-0.000680281769705254,66
"6597",291.217335233333,-0.000680281769705254,66
"6598",291.446146722222,-0.000680281769705254,66
"6599",291.674958211111,-0.000680281769705254,66
"6600",291.9037697,-0.000680281769705254,66
"6601",269.2514323,-0.00189693541931719,67
"6602",269.480243788889,-0.00189693541931719,67
